Year,Department,Africa,Asia,Caribbean,Europe,North America,Oceania,South America
1930s,Architecture & Design,0,0,0,212,199,0,1
1930s,Drawings & Prints,0,1,0,360,452,0,1
1930s,Film,0,0,0,0,5,0,0
1930s,Painting & Sculpture,0,0,0,99,61,0,1
1930s,Photography,0,0,0,23,286,0,0
1940s,Architecture & Design,0,2,0,336,359,0,8
1940s,Drawings & Prints,0,18,21,2482,2302,2,77
1940s,Film,0,0,0,0,1,0,0
1940s,Painting & Sculpture,0,1,2,97,170,1,16
1940s,Photography,0,0,0,86,1269,0,0
1950s,Architecture & Design,0,11,0,635,381,0,6
1950s,Drawings & Prints,2,117,3,2901,1080,1,71
1950s,Painting & Sculpture,0,3,2,229,171,2,6
1950s,Photography,0,96,0,164,475,0,1
1960s,Architecture & Design,1,32,0,518,8689,1,26
1960s,Drawings & Prints,6,353,47,14988,5806,20,569
1960s,Painting & Sculpture,6,30,1,220,317,2,24
1960s,Photography,0,16,0,5492,2229,0,1
1970s,Architecture & Design,0,32,0,418,1123,0,3
1970s,Drawings & Prints,1,204,0,2999,4610,90,300
1970s,Film,0,1,0,0,1,0,0
1970s,Media and Performance,0,12,0,1,54,0,0
1970s,Painting & Sculpture,0,4,0,142,253,0,8
1970s,Photography,12,195,0,568,2210,2,5
1980s,Architecture & Design,1,107,0,710,427,3,4
1980s,Drawings & Prints,0,44,1,2319,2974,53,76
1980s,Film,0,1,0,0,3,0,0
1980s,Media and Performance,0,33,3,57,184,1,23
1980s,Painting & Sculpture,0,5,0,158,200,1,1
1980s,Photography,2,4,0,1021,2167,1,8
1990s,Architecture & Design,0,158,0,1122,451,3,24
1990s,Drawings & Prints,13,42,1,2344,3541,9,126
1990s,Film,0,0,0,0,5,0,0
1990s,Media and Performance,0,17,1,134,300,1,23
1990s,Painting & Sculpture,3,33,0,160,288,0,6
1990s,Photography,24,42,0,759,2100,0,15
2000s,Architecture & Design,11,126,0,1432,807,6,47
2000s,Drawings & Prints,219,850,1,6221,7750,38,829
2000s,Film,0,0,0,12,29,0,0
2000s,Fluxus Collection,0,69,0,316,939,1,0
2000s,Media and Performance,6,59,0,576,442,0,8
2000s,Painting & Sculpture,5,4,1,152,276,0,37
2000s,Photography,47,108,0,808,2587,0,20
2010s,Architecture & Design,11,306,14,2849,2260,16,1494
2010s,Drawings & Prints,655,400,0,2975,5224,9,568
2010s,Film,1,1,0,55,54,0,0
2010s,Media and Performance,24,61,0,281,780,4,140
2010s,Painting & Sculpture,14,34,2,215,294,5,121
2010s,Photography,119,372,0,4042,2909,0,336
2020s,Architecture & Design,0,470,0,146,160,2,20
2020s,Drawings & Prints,72,34,4,259,2443,1,101
2020s,Media and Performance,3,7,1,14,46,0,28
2020s,Painting & Sculpture,15,11,0,24,79,0,21
2020s,Photography,49,57,0,123,904,1,61